City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,prince george,53.9166,-122.753,-0.95,83,100,2.06,CA,1707264040
247,togur,58.3631,82.8265,-11.59,96,94,2.24,RU,1707264181
248,ibi,38.6253,-0.5723,12.73,59,59,3.95,ES,1707264182
249,geraldton,-28.7667,114.6,29.23,20,0,9.77,AU,1707264182
250,peace river,56.2501,-117.286,-4.83,68,100,2.06,CA,1707264182
251,micheweni,-4.9667,39.8333,27.51,81,57,3.1,TZ,1707264182
252,panyutyne,48.9333,36.2833,0.71,99,98,2.74,UA,1707264182
253,negapatam,10.7667,79.8333,23.33,82,4,2.47,IN,1707264183
254,bilibino,68.0546,166.4372,-35.0,100,100,0.3,RU,1707264183
255,joshimath,30.5667,79.5667,-0.76,36,30,3.93,IN,1707264183
256,kirkland lake,48.1446,-80.0377,-0.84,80,100,0.0,CA,1707264030
257,ghanzi,-21.5667,21.7833,25.45,50,84,4.02,BW,1707264183
258,newport,51.5877,-2.9984,8.79,94,100,4.98,GB,1707264184
259,huron,41.1501,-82.5499,2.76,75,11,2.94,US,1707264184
260,dongola,19.1667,30.4833,13.28,37,81,4.79,SD,1707264184
261,mount gambier,-37.8333,140.7667,18.1,58,70,2.59,AU,1707264185
262,yelizovo,53.1873,158.3805,-8.92,67,75,3.13,RU,1707264185
263,portland,45.5234,-122.6762,11.21,82,75,3.09,US,1707263563
264,purpe,64.4803,76.6897,-9.54,95,74,3.17,RU,1707264185
265,berdigestyakh,62.0989,126.6992,-24.81,99,100,1.52,RU,1707264185
266,ventspils,57.3894,21.5606,-3.04,100,100,6.17,LV,1707264186
267,georgievka,49.3314,81.5761,-6.89,65,62,7.0,KZ,1707264186
268,lesozavodsk,45.4794,133.4244,-19.7,99,98,1.78,RU,1707264186
269,ponta delgada,37.7333,-25.6667,18.4,94,75,7.2,PT,1707264186
270,kapoeta,4.7717,33.5903,28.54,46,16,1.49,SS,1707264186
271,miri,4.4148,114.0089,25.08,94,40,0.51,MY,1707264186
272,pavlovka,52.6897,47.1405,-11.24,87,44,8.51,RU,1707264187
273,port isabel,26.0734,-97.2086,19.05,80,0,2.24,US,1707264187
274,revin,49.9404,4.635,10.62,89,100,7.5,FR,1707264187
275,uzgen,40.7699,73.3007,-0.84,54,100,3.34,KG,1707264187
276,catia la mar,10.6038,-67.0303,29.11,58,94,2.57,VE,1707264029
277,hluti,-27.2167,31.6167,18.72,96,16,1.05,SZ,1707264188
278,uturoa,-16.7333,-151.4333,27.95,89,100,13.46,PF,1707264188
279,howard springs,-12.497,131.047,31.6,76,23,3.37,AU,1707264188
280,tokar,18.4254,37.729,21.02,62,74,4.62,SD,1707264009
281,severnoye,56.3491,78.3619,-8.34,93,99,3.58,RU,1707264189
282,lata,40.1629,-8.3327,9.95,92,46,1.66,PT,1707264189
283,susuman,62.7833,148.1667,-33.34,99,99,1.34,RU,1707264189
284,hermanus,-34.4187,19.2345,19.89,83,24,7.25,ZA,1707264189
285,praia,14.9215,-23.5087,23.3,56,0,5.66,CV,1707264189
286,youhao,47.8667,128.8333,-21.21,99,79,0.56,CN,1707264190
287,pisco,-13.7,-76.2167,27.03,65,0,6.69,PE,1707263913
288,kidal,18.4411,1.4078,16.55,21,30,5.08,ML,1707264190
289,hasaki,35.7333,140.8333,4.05,51,89,6.89,JP,1707264190
290,boyolangu,-8.1181,111.8935,24.24,92,100,1.37,ID,1707264037
291,robore,-18.3333,-59.75,23.51,87,71,0.58,BO,1707264191
292,iwanai,42.9744,140.5089,-1.3,79,99,1.51,JP,1707264057
293,ejea de los caballeros,42.1263,-1.1372,5.12,74,51,2.84,ES,1707264191
294,turan,16.0678,108.2208,24.99,88,75,0.51,VN,1707264191
295,conceicao da barra,-18.5933,-39.7322,26.12,86,100,2.53,BR,1707264191
296,tarazona de la mancha,39.2123,-1.9491,7.9,88,41,5.65,ES,1707264191
